iter	Passed	Remaining
0	4	421
1	7	382
2	11	364
3	13	322
4	15	301
5	18	284
6	19	263
7	21	246
8	22	229
9	23	215
10	25	203
11	26	194
12	27	183
13	28	175
14	29	168
15	30	161
16	31	154
17	32	148
18	33	142
19	34	137
20	35	132
21	35	127
22	36	123
23	37	118
24	38	114
25	39	111
26	39	107
27	40	104
28	41	101
29	42	98
30	42	95
31	43	92
32	44	90
33	45	87
34	45	85
35	46	82
36	47	80
37	48	78
38	48	76
39	49	74
40	50	72
41	50	70
42	51	68
43	52	66
44	52	64
45	53	63
46	54	61
47	55	59
48	56	58
49	56	56
50	57	55
51	58	54
52	59	52
53	60	51
54	60	49
55	61	48
56	62	47
57	63	45
58	64	44
59	64	43
60	65	42
61	66	40
62	67	39
63	67	38
64	68	37
65	69	35
66	70	34
67	71	33
68	71	32
69	73	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	82	22
79	83	20
80	84	19
81	85	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	93	7
93	94	6
94	95	5
95	96	4
96	96	2
97	97	1
98	98	0
99	99	0
