iter	Passed	Remaining
0	140	140255
1	142	70958
2	143	47746
3	145	36125
4	146	29130
5	147	24460
6	148	21121
7	150	18627
8	151	16689
9	153	15176
10	155	13944
11	156	12874
12	157	11964
13	158	11188
14	160	10511
15	161	9918
16	162	9394
17	163	8936
18	165	8521
19	166	8162
20	169	7906
21	171	7628
22	172	7348
23	174	7081
24	175	6837
25	176	6622
26	178	6416
27	179	6222
28	180	6042
29	181	5880
30	185	5795
31	189	5735
32	191	5617
33	193	5485
34	194	5356
35	195	5239
36	196	5122
37	202	5123
38	204	5034
39	205	4937
40	207	4846
41	208	4752
42	209	4663
43	210	4577
44	212	4501
45	217	4515
46	219	4440
47	220	4367
48	221	4296
49	222	4230
50	223	4165
51	225	4102
52	226	4042
53	227	3984
54	229	3947
55	231	3902
56	234	3872
57	238	3872
58	239	3823
59	240	3774
60	242	3727
61	245	3716
62	247	3680
63	248	3637
64	249	3592
65	250	3546
66	251	3502
67	252	3458
68	253	3417
69	254	3375
70	255	3341
71	256	3309
72	262	3331
73	263	3297
74	264	3266
75	265	3230
76	266	3196
77	267	3162
78	268	3128
79	269	3095
80	270	3064
81	270	3033
82	271	2998
83	272	2969
84	277	2987
85	278	2962
86	280	2947
87	281	2919
88	282	2893
89	283	2868
90	285	2849
91	286	2828
92	287	2804
93	292	2822
94	294	2801
95	295	2779
96	296	2762
97	297	2738
98	298	2715
99	299	2694
100	300	2672
101	301	2651
102	301	2630
103	302	2609
104	307	2623
105	309	2608
106	310	2590
107	311	2574
108	312	2555
109	313	2536
110	314	2519
111	315	2501
112	316	2484
113	317	2468
114	318	2451
115	320	2439
116	322	2432
117	323	2417
118	324	2403
119	325	2388
120	326	2372
121	327	2355
122	328	2340
123	329	2325
124	330	2310
125	330	2295
126	331	2279
127	332	2264
128	333	2250
129	336	2253
130	337	2239
131	338	2225
132	339	2213
133	340	2200
134	341	2187
135	342	2174
136	343	2161
137	343	2148
138	344	2136
139	345	2123
140	346	2111
141	347	2097
142	347	2085
143	348	2074
144	351	2071
145	352	2062
146	354	2055
147	355	2046
148	357	2042
149	359	2035
150	360	2026
151	361	2017
152	362	2008
153	366	2015
154	368	2006
155	369	1997
156	370	1988
157	371	1980
158	372	1971
159	373	1963
160	374	1951
161	375	1943
162	376	1935
163	378	1926
164	380	1926
165	382	1919
166	383	1911
167	384	1903
168	385	1896
169	386	1888
170	387	1880
171	389	1873
172	390	1866
173	391	1858
174	392	1851
175	394	1849
176	397	1849
177	404	1867
178	405	1859
179	406	1850
180	407	1842
181	408	1834
182	408	1825
183	410	1822
184	413	1823
185	415	1816
186	416	1809
187	417	1802
188	418	1796
189	419	1789
190	420	1781
191	421	1773
192	422	1765
193	423	1758
194	424	1751
195	425	1746
196	428	1748
